knn_type,k,distance,accuracy,precision,recall,sensitivity
bagging,3,Cosine,0.46,0.34,0.46,0.03
bagging,3,Euclidean,0.65,0.66,0.65,0.65
bagging,3,Jaccard,0.34,0.28,0.34,0.72
bagging,3,Mahalanobis,0.47,0.76,0.47,0.67
bagging,3,Manhattan,0.69,0.7,0.69,0.68
bagging,5,Cosine,0.46,0.34,0.46,0.03
bagging,5,Euclidean,0.67,0.68,0.67,0.71
bagging,5,Jaccard,0.35,0.3,0.35,0.73
bagging,5,Mahalanobis,0.57,0.76,0.57,0.0
bagging,5,Manhattan,0.69,0.69,0.69,0.67
bagging,7,Cosine,0.57,0.76,0.57,0.0
bagging,7,Euclidean,0.69,0.7,0.69,0.71
bagging,7,Jaccard,0.34,0.3,0.34,0.71
bagging,7,Mahalanobis,0.57,0.76,0.57,0.0
bagging,7,Manhattan,0.71,0.72,0.71,0.72
bagging,9,Cosine,0.57,0.76,0.57,0.0
bagging,9,Euclidean,0.67,0.68,0.67,0.68
bagging,9,Jaccard,0.34,0.29,0.34,0.69
bagging,9,Mahalanobis,0.51,0.76,0.51,0.33
bagging,9,Manhattan,0.7,0.7,0.7,0.7
base,3,Eucledian,0.65,0.66,0.65,0.65
base,5,Eucledian,0.67,0.68,0.67,0.71
base,7,Eucledian,0.69,0.7,0.69,0.71
base,9,Eucledian,0.67,0.68,0.67,0.68
features,3,Eucledian Features,0.69,0.71,0.69,0.72
features,5,Eucledian Features,0.7,0.7,0.7,0.68
features,7,Eucledian Features,0.72,0.73,0.72,0.7
features,9,Eucledian Features,0.71,0.72,0.71,0.68
